Release Date,Reference Month,Time,Actual,Actual Status,Forecast,Previous
2025-03-08,Feb,20:30,,,,0.005
2025-02-08,Jan,20:30,0.005,Better Than Expected,0.004,0.001
2025-01-08,Dec,20:30,0.001,In Line with Expectation,0.001,0.002
2024-12-08,Nov,20:30,0.002,Worse Than Expected,0.005,0.003
2024-11-08,Oct,20:30,0.003,In Line with Expectation,0.003,0.004
2024-10-12,Sep,20:30,0.004,Worse Than Expected,0.006,0.006
2024-09-08,Aug,20:30,0.006,Worse Than Expected,0.006999999999999999,0.005
2024-08-08,Jul,20:30,0.005,Better Than Expected,0.003,0.002
2024-07-09,Jun,20:30,0.002,Worse Than Expected,0.004,0.003
2024-06-11,May,20:30,0.003,Worse Than Expected,0.004,0.003
2024-05-10,Apr,20:30,0.003,Better Than Expected,0.001,0.001
2024-04-10,Mar,20:30,0.001,Worse Than Expected,0.004,0.006999999999999999
2024-03-08,Feb,20:30,0.006999999999999999,Better Than Expected,0.003,-0.008
2024-02-07,Jan,20:30,-0.008,Worse Than Expected,-0.005,-0.003
2024-01-11,Dec,20:30,-0.003,Better Than Expected,-0.004,-0.005
2023-12-08,Nov,20:30,-0.005,Worse Than Expected,-0.001,-0.002
2023-11-08,Oct,20:30,-0.002,Worse Than Expected,-0.001,0.0
2023-10-12,Sep,20:30,0.0,Worse Than Expected,0.002,0.001
2023-09-08,Aug,20:30,0.001,In Line with Expectation,0.001,-0.003
2023-08-08,Jul,20:30,-0.003,Better Than Expected,-0.004,0.0
2023-07-09,Jun,20:30,0.0,Worse Than Expected,0.002,0.002
2023-06-08,May,20:30,0.002,Worse Than Expected,0.003,0.001
2023-05-10,Apr,20:30,0.001,Worse Than Expected,0.004,0.006999999999999999
2023-04-10,Mar,20:30,0.006999999999999999,Worse Than Expected,0.01,0.01
2023-03-08,Feb,20:30,0.01,Worse Than Expected,0.019,0.021
2023-02-09,Jan,20:30,0.021,Worse Than Expected,0.022000000000000002,0.018000000000000002
2023-01-11,Dec,20:30,0.018000000000000002,In Line with Expectation,0.018000000000000002,0.016
2022-12-08,Nov,20:30,0.016,In Line with Expectation,0.016,0.021
2022-11-08,Oct,20:30,0.021,Worse Than Expected,0.024,0.027999999999999997
2022-10-13,Sep,20:30,0.027999999999999997,In Line with Expectation,0.027999999999999997,0.025
2022-09-08,Aug,20:30,0.025,Worse Than Expected,0.027999999999999997,0.027000000000000003
2022-08-09,Jul,20:30,0.027000000000000003,Worse Than Expected,0.028999999999999998,0.025
2022-07-08,Jun,20:30,0.025,Better Than Expected,0.024,0.021
2022-06-09,May,20:30,0.021,Worse Than Expected,0.022000000000000002,0.021
2022-05-10,Apr,20:30,0.021,Better Than Expected,0.018000000000000002,0.015
2022-04-10,Mar,20:30,0.015,Better Than Expected,0.012,0.009000000000000001
2022-03-08,Feb,20:30,0.009000000000000001,In Line with Expectation,0.009000000000000001,0.009000000000000001
2022-02-15,Jan,20:30,0.009000000000000001,Worse Than Expected,0.01,0.015
2022-01-11,Dec,20:30,0.015,Worse Than Expected,0.018000000000000002,0.023
2021-12-08,Nov,20:30,0.023,Worse Than Expected,0.025,0.015
2021-11-09,Oct,20:30,0.015,Better Than Expected,0.013999999999999999,0.006999999999999999
2021-10-13,Sep,20:30,0.006999999999999999,Worse Than Expected,0.009000000000000001,0.008
2021-09-08,Aug,20:30,0.008,Worse Than Expected,0.01,0.01
2021-08-08,Jul,20:30,0.01,Better Than Expected,0.008,0.011000000000000001
2021-07-08,Jun,20:30,0.011000000000000001,Worse Than Expected,0.013000000000000001,0.013000000000000001
2021-06-08,May,20:30,0.013000000000000001,Worse Than Expected,0.016,0.009000000000000001
2021-05-10,Apr,20:30,0.009000000000000001,Worse Than Expected,0.01,0.004
2021-04-08,Mar,20:30,0.004,Better Than Expected,0.003,-0.002
2021-03-09,Feb,20:30,-0.002,Better Than Expected,-0.004,-0.003
2021-02-09,Jan,20:30,-0.003,Worse Than Expected,-0.001,0.002
2021-01-10,Dec,20:30,0.002,Better Than Expected,0.001,-0.005
2020-12-08,Nov,20:30,-0.005,Worse Than Expected,0.008,0.005
2020-11-09,Oct,20:30,0.005,Worse Than Expected,0.008,0.017
2020-10-14,Sep,20:30,0.017,Worse Than Expected,0.018000000000000002,0.024
2020-09-08,Aug,20:30,0.024,In Line with Expectation,0.024,0.027000000000000003
2020-08-09,Jul,20:30,0.027000000000000003,Better Than Expected,0.026000000000000002,0.025
2020-07-08,Jun,20:30,0.025,In Line with Expectation,0.025,0.024
